Channel : 39 || Datarate : 0 || Error : packet is too long, couldnt display
Channel : 42 || Datarate : 2 || Address : 04:52:c7:c7:b9:7d || Sender : 24:34:36:3b:7d:df || Adv_info : 02  01  1a  03  03  be  fe  13  ff  10  01  40  0c  01  43  7c  7a  91  3c  ad  24  34  36  3b  7d  df  5f   || Rest : 27  a4  61  00  00  00  21  00 
Channel : 37 || Datarate : 0 || Address : 65:b9:54:48:ae:05 || Sender : unrecognized || Adv_info : 02  01  06  13  ff  4c  00  0c  0e  00  d4  ca  84  17  6f  26  89  44  5f  59  71  82  b2   || Rest : 25  aa  64  00  00  40  1d  00 
Channel : 38 || Datarate : 0 || Address : 2c:f0:ee:1b:19:63 || Sender : unrecognized || Adv_info : 02  01  06  07  ff  4c  00  10  02  0b  00   || Rest : 25  c2  64  00  00  00  11  00 
Channel : 39 || Datarate : 0 || Address : 65:b9:54:48:ae:05 || Sender : unrecognized || Adv_info : 02  01  06  13  ff  4c  00  0c  0e  00  d4  ca  84  17  6f  26  89  44  5f  59  71  82  b2   || Rest : 25  e6  64  00  00  40  1d  00 
Channel : 40 || Datarate : 0 || Error : packet is too long, couldnt display
Channel : 38 || Datarate : 1 || Address : 6a:4b:a2:25:d6:3b || Sender : unrecognized || Adv_info : 05  ae  48  54  b9  65   || Rest : 26  04  68  00  00  c3  0c  00 
Channel : 39 || Datarate : 1 || Address : 04:52:c7:c7:b9:7d || Sender : 24:34:36:3b:7d:df || Adv_info : 02  01  1a  03  03  be  fe  13  ff  10  01  40  0c  01  43  7c  7a  91  3c  ad  24  34  36  3b  7d  df  5f   || Rest : 26  10  68  00  00  00  21  00 
Channel : 40 || Datarate : 1 || Address : 6a:4b:a2:25:d6:3b || Sender : unrecognized || Adv_info : 7d  b9  c7  c7  52  04   || Rest : 26  10  68  00  00  43  0c  00 
Channel : 41 || Datarate : 1 || Address : 7c:7a:91:3c:ad:24 || Sender : unrecognized || Adv_info : 63  19  1b  ee  f0  2c   || Rest : 27  52  68  00  00  03  0c  00 
Channel : 38 || Datarate : 2 || Address : 68:6f:31:22:84:ec || Sender : unrecognized || Adv_info : 02  01  06  13  ff  4c  00  0c  0e  00  f5  50  db  37  f5  ac  5d  c4  8d  b6  3e  62  64   || Rest : 26  1c  6b  00  00  40  1d  00 
Channel : 39 || Datarate : 2 || Address : 2a:4f:91:9c:33:25 || Sender : c0:fd:31:a9:3f:26 || Adv_info : 1e  ff  06  00  01  09  20  00  e7  7e  71  8f  79  62  f1  36  9a  6f  4a  9b  c0  fd  31  a9  3f  26  48  3a  3e  18  af   || Rest : 26  22  6b  00  00  42  25  00 
Channel : 40 || Datarate : 2 || Address : 2a:4f:91:9c:33:25 || Sender : c0:fd:31:a9:3f:26 || Adv_info : 1e  ff  06  00  01  09  20  00  e7  7e  71  8f  79  62  f1  36  9a  6f  4a  9b  c0  fd  31  a9  3f  26  48  3a  3e  18  af   || Rest : 27  8e  6b  00  00  42  25  00 
Channel : 41 || Datarate : 2 || Address : 68:6f:31:22:84:ec || Sender : unrecognized || Adv_info : 02  01  06  13  ff  4c  00  0c  0e  00  f5  50  db  37  f5  ac  5d  c4  8d  b6  3e  62  64   || Rest : 27  d6  6b  00  00  40  1d  00 
Channel : 37 || Datarate : 0 || Address : 65:b9:54:48:ae:05 || Sender : unrecognized || Adv_info : 02  01  06  13  ff  4c  00  0c  0e  00  d5  ca  05  14  0e  02  09  c8  da  38  b2  e5  00   || Rest : 25  00  75  00  00  40  1d  00 
Channel : 38 || Datarate : 0 || Address : 65:b9:54:48:ae:05 || Sender : unrecognized || Adv_info :   || Rest : 25  00  75  00  00  44  06  00 
Channel : 39 || Datarate : 0 || Address : 65:b9:54:48:ae:05 || Sender : unrecognized || Adv_info : 02  01  06  13  ff  4c  00  0c  0e  00  d5  ca  05  14  0e  02  09  c8  da  38  b2  e5  00   || Rest : 25  1e  75  00  00  40  1d  00 
Channel : 40 || Datarate : 0 || Address : 65:b9:54:48:ae:05 || Sender : unrecognized || Adv_info :   || Rest : 25  1e  75  00  00  44  06  00 
